pmt,amax,taumax,amin,taumin,eamax,etaumax,eamin,etaumin,npoints,nfitpoints,chi2,ndof,voltage
241,0.38947850755858177,1950.776299642326,0.38686314097061214,1950.7724262225966,425764.6936242561,656348210.5115303,425764.6945171498,660783153.4815348,41,41,1.9243245151837185,37,1381.0
242,0.6935107987403796,1846.8673396090028,0.04665828954187283,35.277608126079144,0.00891982073811429,186.6569083922892,0.01665016715812157,23.60464606632736,41,41,0.554705337904987,37,1673.0
243,0.5887267351540231,3187.968802855394,0.16156846938399272,321.17101709511087,0.6446741831009728,12676.316368831964,0.6421008784370108,731.1136957662256,41,41,0.2163037189217312,37,1661.0
244,0.4485529881587786,3100834113.787876,0.19769141678922378,168.87999812864606,0.008800795146572855,1.2208344600246759e-12,0.006440926718454273,17.5381185906663,41,41,0.5384026434562518,37,1568.0
245,0.46941850666640333,15863.778749746392,0.1647397084982932,205.23555740868974,0.12066988851451203,112051.35508803076,0.11862709114480893,111.37686933979617,41,41,0.09916421535815936,37,1675.0
246,0.3672282727403206,67807207.14428309,0.28921145925309827,392.65412291565434,0.02689128223241439,3.3508913802034295e-09,0.024978728474980217,54.197113278846786,41,41,0.23118226837363282,37,1645.0
247,0.39191602090794875,2922.7007346828154,0.39191491323452327,2918.268313833049,144044.4091621721,4869543.500956318,144044.4093389552,4820331.333375272,41,41,0.2495332881986535,37,1415.0
248,0.42984661647127054,107852940.91894458,0.21615913088329428,192.4062887142764,0.006044717467233193,1.5753790609593788e-10,0.00455917800876953,11.495168799575493,41,41,0.17420985874335068,37,1706.0
249,0.43083213407442655,115078932.46970749,0.2808522517994059,295.8166984730806,0.013107040829778194,3.9554266054509964e-10,0.011375262707692074,23.478358917883796,41,41,0.18624155315498842,37,1668.0
250,0.45900904245632973,144817723.01188257,0.2530366520116815,346.30822697306616,0.022537842800270314,8.068070735201548e-10,0.020371637759465572,48.65696602638507,41,41,0.21005829213742788,37,1620.0
251,0.29954429232559837,30208128.627679422,0.3409918428785514,565.3529788758791,0.07494327703457833,6.715183401747541e-08,0.07233257595721425,164.6124611042604,41,41,0.37212957822283876,37,1590.0
252,0.4422621336423816,346531067.7229307,0.27359539575508696,407.75243706671415,0.03690538730764408,3.073296646498698e-10,0.03430331902430641,81.44977931882016,41,41,0.3322671064811096,37,1705.0
253,0.42244512467528894,284947896.3973117,0.3031677818773326,374.1497765530139,0.020566093687406434,1.5263127228340935e-10,0.018852319080789503,38.834044414015686,41,41,0.15313103025126729,37,1600.0
254,0.3691704382176614,346992536.3774788,0.2977500231094032,271.8335251723343,0.014318003967941901,3.112814953266036e-11,0.012201028577822908,22.94813858829956,41,41,0.21237385139523932,37,1856.0
255,0.3557859580156426,1778.7032319006826,0.3544750301627308,1778.4474970382362,240237.91073038787,19389898.70710212,240237.91094881287,19407723.363723952,41,41,1.2069374168171005,37,1594.0
256,0.5183711032381564,1920.0574894285817,0.132405439830026,143.16311467371483,0.05140147531022211,784.2655748160817,0.049663994092735544,43.62492860526322,41,41,0.10278330179751602,37,1868.0
257,0.6128281631264928,2135.0758066765306,0.08092066194473065,124.52580076671104,0.06161979563641905,1082.9183135211604,0.05843429441147977,83.4212157520048,41,41,0.3547199008234567,37,1566.0
258,0.5020231448914185,218792973.2164833,0.20679556244580774,294.7960977348472,0.016368303470810277,3.13329050347365e-10,0.014202494088164892,39.74341029657049,41,41,0.23332707493597696,37,1586.0
259,0.43758194460242955,696689675.464133,0.267477592776024,325.84969427895106,0.019535852502514373,1.3681103936628311e-11,0.01741844846356508,38.553667318274584,41,41,0.18889064969883088,37,1690.0
260,0.45741906245408653,1001239949.9054999,0.259501630949887,288.6103292153783,0.020890990070671907,1.1825270864155484e-12,0.018007189743872165,40.047750808218225,41,41,0.528800645524337,37,1612.0
261,0.5660976170182386,3842751.940987585,0.21408290525665494,497.4241726976742,2.3282079283537667,52342624999.423065,2.324585960759137,3209.771731425596,41,41,0.3937409055199486,37,1440.0
262,0.4262442298060316,54276042.302881084,0.3210182270121895,499.8150739425409,0.06100324379032488,2.0685706944699234e-08,0.05812131679535729,131.4433699360345,41,41,0.35002082362489023,37,1608.0
263,0.392083473682666,1662.5451743300084,0.37117950938278366,1662.168781747384,187087.57691038135,16476320.220869528,187087.5780938451,17327322.544167314,41,41,0.08767368933322658,23,1533.0
264,0.6643483922968544,941.8260354169822,0.023608460327766683,27.42176253084446,0.007264896505649193,46.1454230040584,0.021957804159803234,38.51821478626144,41,41,0.5143918491867209,37,1578.0
265,0.3491622333717386,130986772.2511676,0.26905537229374005,255.39907648544087,0.01652651144930642,2.482984746277376e-10,0.01375732986845269,28.666393757061677,41,41,0.43210375267248236,37,1889.0
266,0.44106127366496517,354647089.2763883,0.24127544764247594,269.57074892318263,0.010884208078653184,3.954058498010261e-11,0.009187908156976779,21.6769642612838,41,41,0.1330740301364653,37,1778.0
267,0.4138677993199923,164937359.55073646,0.2582826332232673,321.27256199796415,0.024715017504309912,4.969178004515957e-10,0.022037300753515853,50.00526288942608,41,41,0.3521419339973114,37,1616.0
268,0.415182042981231,8172.921577098889,0.1611608339119609,161.81898997504453,0.11257961152213991,37088.79960028886,0.10952769682613124,90.99020658973522,41,41,1.1631006325499007,37,1779.0
269,0.3833382912178357,2766.8825222301525,0.3833805838995455,2766.4248473718094,271050.07316214463,60418398.26037519,271050.07362283807,60317901.201522164,41,41,0.6713012494835229,37,1544.0
270,0.6004535799757633,2251.745716799267,0.09528518483338258,208.66445090999028,0.19020983568404093,2588.496104036768,0.18776537265654475,272.30738234373126,41,41,0.13845168971362168,37,1622.0
271,0.3577407197765593,17715773719.043877,0.07193563650189604,50.89989129195694,0.0016351923727305662,4.453338876222741e-15,0.008638230044144438,8.255259863788538,41,41,0.46221596502158574,37,1748.0
272,0.5083705593715531,356030646.6317953,0.23905824947047563,498.37678806800477,0.05127418298356076,9.506285133215547e-10,0.04881429668329821,148.18598665566947,41,41,0.1956199457424458,37,1515.0
273,0.5103479650127423,1053289756.5491495,0.1980994563842892,298.23851884721626,0.024361894207604463,2.250879271125352e-11,0.02112196962114563,62.485193137799264,41,41,0.4279842984251731,37,1669.0
274,0.45543643814790236,44903843.36919264,0.2931290634305041,606.6064375538615,0.05435001992418884,5.4836145319360834e-08,0.052586060817310785,147.42657826545314,41,41,0.13073230838248484,37,1474.0
276,0.43329473987604,130772910.26601675,0.21055308410791962,255.4753316298561,0.05478832351502656,1.744603136443337e-09,0.04574936348219362,121.52625632497829,40,40,25.18683111687977,36,1556.0
277,0.4487805238860806,93178169.39027299,0.22113364103713656,358.6197114295747,0.02649594957671068,3.0727821662370245e-09,0.024059863904040447,67.0388181851214,41,41,0.24871930058200964,37,1577.0
278,0.596010003908971,2603.202453940365,0.08741004072910445,148.08023051229821,0.10153992531076714,2433.688390888108,0.09791474597343118,138.5433994529139,41,41,0.2874829801708697,37,1552.0
279,0.4557542247198642,5487.631339453873,0.1411151007781073,161.49912160354972,0.06102204010703831,8159.844368726402,0.05913453756436333,56.33166957341404,41,41,0.09443922780169019,37,1476.0
280,0.6128475430767242,2413.4399536695123,0.10854844375193132,148.05409004374908,0.09192319989966131,1833.7586167215832,0.08867114954391726,100.4858502955104,41,41,0.28437275631617304,37,1576.0
281,0.6822204370364932,1699.889178710226,0.03960608829760037,73.66052385878542,0.01872135601143157,253.0677585679327,0.015387332604115818,47.53166537927176,41,41,0.3240566932349312,37,1688.0
282,0.45424470322673804,152165942.53993914,0.31565410422263956,525.3936555390445,0.07499785277556363,3.6337626232598946e-09,0.07177215919894495,170.2349030125166,41,41,0.41371446702696035,37,1595.0
283,0.3957067871819732,52698096.9637212,0.2615059031248856,272.491894434664,0.016966457041913782,2.147927368120176e-09,0.014555752884770356,30.777398299155525,41,41,0.4157194816008573,37,1791.0
284,0.3864614911855665,192827325.83304003,0.23454103207308738,215.50130746433464,0.008106526306424654,6.176273929422862e-11,0.006390176660443385,14.797893564216661,41,41,0.20059867944356202,37,1653.0
285,0.36702637366150903,4432981.11769838,0.34790198848924364,578.9155242976477,0.1339896997890161,7.029805755370709e-06,0.12924368331410305,295.8506945760951,41,41,0.973678437576004,37,1615.0
286,0.36938992838797197,181.81973312385665,0.31788855267017074,181.81603394791733,15503989.467372544,8160067.283864141,15503989.49824358,9472411.385107907,41,41,427.48472749792955,37,1692.0
287,0.470734163639902,157259196.3659193,0.2674614981436672,389.6900060148971,0.025253552044811597,8.97265757628405e-10,0.023275731856292902,55.57186668320489,41,41,0.22308875803186717,37,1361.0
288,0.5014942366542555,321747426.27534014,0.22221054788844585,452.8296746629376,0.02810534017728772,5.457080383014912e-10,0.02650830560113902,81.71743582649603,41,41,0.1308906052784543,37,1481.0
289,0.40869639431352356,303856084.1655982,0.24076508138815642,278.2989903328994,0.017428844564992097,8.883733164668793e-11,0.014986877011713928,34.93524726430546,41,41,0.33415108392096204,37,1756.0
290,0.46016978826658783,169800914.58370066,0.24946591792469774,321.5405757186631,0.015388515777886233,3.5355820151302544e-10,0.013651175001671343,32.424987648024015,41,41,0.17972464617906533,37,1585.0
291,0.46030321020443227,200370719.32106677,0.1829323235516959,258.52651873118566,0.016623684880262505,3.4325377430249137e-10,0.013947665455844726,42.5250189891083,41,41,0.4615500474880272,37,1679.0
292,0.4547463825793072,274182553.7236394,0.23253376831010056,283.24179655398416,0.02188429986836837,1.6867546347595823e-10,0.018787092992257864,46.29135460555151,41,41,0.4185051059634681,37,1667.0
293,0.3673265252309807,171.87020639528254,0.3766401861279784,171.8699376398192,14108885.434142455,131398214.29741955,14108885.472665418,128145890.58419357,41,41,577.1891913111784,37,1738.0
294,0.4683705986348863,310912641.11103916,0.2449853717711832,300.6140805846442,0.01405496041809081,9.003795420835735e-11,0.012297942513629081,29.00704155651718,41,41,0.17658120587226123,37,1508.0
295,0.6114901970196763,1424.8059807588052,0.057018441467239625,67.42676931275784,0.01470491649270699,162.8297438044693,0.011821948241482048,25.28212051290193,41,41,0.24512986047402133,37,1585.0
296,0.4253193707347038,173396382.02341637,0.22333507172444853,343.4370279545803,0.017178426245837125,5.013831501966568e-10,0.015555704881463463,41.5967562286881,41,41,0.15658579580546317,37,1546.0
297,0.6694009064295814,1527.2423018954264,0.0208060290358477,46.42763987081926,0.009648795740292036,144.8064641970841,0.007464518271563178,42.75137608390407,41,41,0.17590444840023878,29,1496.0
298,0.41506693152847235,848536439.9631987,0.26290682068764193,315.2625768131922,0.012640360488613764,1.076143319672508e-11,0.011211263281596053,24.8288862802785,41,41,0.12447046493740505,37,1686.0
299,0.4370214540071277,198994660.83812377,0.29022149852110524,463.31507624921875,0.03254678907198002,8.044826754118551e-10,0.03076935951496449,73.56442312497242,41,41,0.1784654187077602,37,1636.0
300,0.37782230216295615,1617.159930970434,0.3814185668803803,1617.03435508109,514436.41415152565,55192564.46935449,514436.4177822543,54602437.38466393,41,41,2.1731287407277,34,1431.0
301,0.48413215949427846,352147302.55222505,0.20826883400053128,228.78666467144737,0.013948510129610098,5.407337355220016e-11,0.011179498673672456,29.667606324489263,41,41,0.5216913201343788,34,1689.0
302,0.5393854490711196,5199.152019338967,0.10960599016568365,153.63383412539483,0.09003601316638796,9384.679809542435,0.08681330614455814,104.9706271148976,41,41,0.22455875977143158,34,1415.0
303,0.5331351188768498,2213784125.887553,0.1806933390903184,198.39923701866363,0.01782941557736805,1.7507078552740348e-12,0.013616423169949408,41.328739586435105,41,41,1.2080980184295353,34,1551.0
304,0.6478542758681065,1348.7260679023054,0.03646726987562322,59.94303850770438,0.015809367725489583,157.51591392255398,0.012285697967668192,42.74512381082995,41,41,0.4829207055643283,34,1528.0
305,0.6827211810723499,4580.348263191212,0.0688298569130073,135.69546102782493,0.08042780976393128,5549.789508950648,0.07626605207290954,142.4229068180609,41,41,0.2787361581039814,34,1547.0
306,0.5878383943811366,2676.5406122126274,0.11315879948695787,149.57317471361517,0.12198205499059925,3111.8879969284203,0.11769442190897349,129.59164922812485,41,41,0.40237684541480356,37,1710.0
307,0.8767276016173744,1256.3991053359596,0.044586766097509486,28.058790056123247,0.007769170779637772,57.228779780172424,0.30930421606784053,84.56874761504434,41,41,0.27435683705926156,28,1679.0
308,0.5525251976832646,44567888.26609928,0.1932524431034216,354.69617442813575,0.023011603965693656,1.898267808691804e-08,0.02081745301922858,66.53860127489843,41,41,0.22034996575274893,34,1408.0
309,0.6138459327868504,1055.0801787234864,0.021075052465235243,19.941753866095667,0.002626826284092917,25.276546206202745,0.0171235893037856,18.11896210766419,41,41,0.2987978393826986,37,1755.0
310,0.5123061375423971,2329.376586915336,0.13831433067972507,164.3818548739593,0.10959422376742337,2260.073734211165,0.1068014204596959,97.101995431064,41,41,0.2648932866953235,37,1915.0
311,0.41691492429728355,88027742.02603835,0.21347227356279241,235.20372879228705,0.010406724115340665,5.931607019696779e-10,0.00845003665164281,21.81200472699732,41,41,0.23825314431244118,37,1751.0
312,0.44962246458178395,594554668.2370893,0.1926877466279132,274.1098516463099,0.016833757834793767,3.582682538733633e-11,0.014295621852039388,42.20233811184071,41,41,0.2900383445676532,37,1554.0
313,0.5305180666317989,2642.6237208137413,0.12906177496152724,193.83819537097042,0.22458255509008412,5111.780117340504,0.2209496843255647,233.07726819950946,41,41,0.332901207093445,37,1791.0
314,0.4470393460727075,127903682.74898301,0.2842276144448844,442.6468307190263,0.04096216912427792,2.4974498399476295e-09,0.03848778905867891,91.93258509763068,41,41,0.36962661685573095,37,1477.0
315,0.4366279410832615,151804398.8020644,0.2501892519512213,322.3949566083878,0.018020888826263314,4.801351612984283e-10,0.016013748032691535,37.87125157520272,41,41,0.2024732608174175,37,1580.0
316,0.579428765703572,2103.2861105216048,0.09198039906043161,141.65899851175433,0.07866064816873142,1294.70747544312,0.07566437245838395,98.04233160090385,41,41,0.24751524355953627,37,1810.0
317,0.6679704813668449,2929.0959891417137,0.05591343713116129,91.51397341626661,0.03567801682798877,1306.8151074127372,0.031184655346413615,68.54467322419153,41,41,0.49438553840304655,37,1444.0
318,0.49463614463488287,243317038.71337637,0.23313683662365395,369.63714688337006,0.021666144207087477,4.2343698812144467e-10,0.019783126043205007,53.100831457949646,41,41,0.18093269498739933,37,1700.0
