pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
168,1974,0.338366,0.044495,0.481737,0.019176,0.211604,0.014609,175.460342,20.956108,49.735828,36,0
169,1870,0.532389,0.057342,0.419903,0.020008,0.178005,0.018042,144.619507,14.430337,49.278004,36,0
170,1798,0.405922,0.059591,0.440451,0.028151,0.226927,0.021016,167.689667,21.993469,27.228512,35,0
171,1695,0.327337,0.046250,0.475948,0.019255,0.203087,0.014249,174.232086,23.421185,52.831161,35,0
172,1949,0.529373,0.098938,0.351956,0.047260,0.197662,0.028153,121.286751,17.776558,40.350098,32,0
173,2229,0.395023,0.052106,0.445687,0.022617,0.206228,0.016697,158.475586,18.823954,43.256580,35,0
174,1659,0.522805,0.054085,0.451692,0.020242,0.188105,0.016319,117.816193,10.593067,32.940662,36,0
175,1571,0.172507,0.034869,0.485676,0.019930,0.214047,0.014175,250.367188,48.644733,60.033405,36,0
176,1717,0.268999,0.057986,0.401506,0.037731,0.244185,0.023784,209.602921,43.287769,44.302059,36,0
177,1445,0.368033,0.049540,0.454697,0.023418,0.193085,0.014330,132.304550,16.047903,49.364536,36,0
178,3015,0.221443,0.067644,0.383983,0.054248,0.306746,0.034915,269.851990,83.372849,33.099247,36,0
179,1255,0.279282,0.046576,0.478835,0.020450,0.205855,0.016723,152.629684,24.058796,42.175541,35,0
180,1427,0.264699,0.053457,0.408672,0.031043,0.211188,0.024660,210.335938,43.600281,39.184921,34,0
181,1568,0.188593,0.034793,0.473851,0.019804,0.203119,0.014162,254.208054,47.200539,41.540253,33,0
182,1445,0.261111,0.039802,0.374834,0.020094,0.134013,0.011341,141.543686,22.248014,37.758865,28,0
183,1655,0.226293,0.044640,0.433246,0.028757,0.232485,0.019991,267.290863,50.718407,50.579044,35,0
184,1920,0.397455,0.040986,0.452449,0.019066,0.190411,0.014635,175.142120,16.472876,27.441566,35,0
185,1383,0.354369,0.044458,0.469389,0.016658,0.178829,0.011518,129.425735,14.776093,37.593876,32,0
186,2008,0.224873,0.035543,0.462926,0.021339,0.201947,0.016361,278.444946,42.681541,55.230026,36,0
187,1657,0.313960,0.058929,0.405134,0.035470,0.240184,0.024103,218.678574,38.358402,67.080200,36,0
188,1722,0.316804,0.044855,0.425179,0.024263,0.202632,0.015354,215.298050,27.886637,41.774166,33,0
189,1738,0.355468,0.042426,0.474991,0.015327,0.187996,0.012899,169.977921,18.601009,32.624489,36,0
190,184,0.100000,0.042426,0.800000,0.015327,0.300000,0.012899,35.000000,18.601009,32.624489,36,-1
191,1905,0.435233,0.042855,0.390613,0.016337,0.149851,0.009997,152.262360,13.783430,40.080418,35,0
192,2097,0.295753,0.037191,0.368628,0.020025,0.150334,0.011594,220.804733,27.334951,54.344254,34,0
193,1762,0.298967,0.054788,0.384270,0.035954,0.239264,0.024301,268.117920,49.557789,36.233524,36,0
194,1744,0.232979,0.033223,0.469380,0.014073,0.185798,0.011833,241.776108,33.189320,48.114937,36,0
195,1935,0.337668,0.042296,0.498896,0.014241,0.200663,0.014461,186.988235,21.977406,37.631332,35,0
196,1751,0.339606,0.048222,0.443900,0.020094,0.202768,0.019294,205.189377,29.400234,50.019497,35,0
197,1664,0.269781,0.045012,0.404823,0.026568,0.206983,0.017032,242.781097,38.018948,40.799206,34,0
198,1905,0.336361,0.035438,0.470378,0.012335,0.173315,0.010303,205.205551,20.014755,40.246635,36,0
199,1811,0.249947,0.036302,0.447337,0.016130,0.184062,0.013500,253.800461,35.918987,38.542606,34,0
200,1680,0.221419,0.032841,0.496361,0.014054,0.197966,0.011334,251.697250,35.834736,48.792400,34,0
201,1898,0.219549,0.039435,0.369267,0.030679,0.190775,0.018680,332.708099,59.934544,63.920639,33,0
202,1722,0.156633,0.026101,0.486512,0.014258,0.190925,0.010864,359.571289,58.383541,52.424961,35,0
203,1989,0.200074,0.035995,0.447267,0.023148,0.236497,0.015601,373.557251,64.652977,43.539913,35,0
204,2009,0.203161,0.033786,0.463408,0.015855,0.194844,0.012613,268.831390,43.553123,43.009842,33,0
205,1789,0.321752,0.061061,0.360421,0.041290,0.213879,0.027375,251.469376,47.884319,44.478977,35,0
206,2108,0.207507,0.026654,0.481012,0.011614,0.180187,0.008867,321.400726,40.317093,38.590794,34,0
207,1660,0.259181,0.035075,0.446945,0.017928,0.189058,0.011692,241.205658,30.930389,35.383347,35,0
208,2105,0.142991,0.024878,0.477168,0.014350,0.200044,0.010815,439.568176,74.573402,54.461197,34,0
209,1904,0.220988,0.035011,0.466498,0.017399,0.214713,0.014535,295.933197,45.356213,51.524475,35,0
210,1812,0.243397,0.036126,0.462096,0.018138,0.203052,0.014176,268.341461,38.956673,42.680206,34,0
211,1877,0.370485,0.034249,0.466338,0.010141,0.154896,0.008162,177.553757,15.100216,52.546711,36,0
212,1934,0.263980,0.039767,0.449359,0.020638,0.208594,0.015321,254.840607,37.298836,56.239113,36,0
213,1971,0.281543,0.039439,0.457127,0.020966,0.213698,0.015195,255.146027,33.377411,49.525990,36,0
214,1633,0.386537,0.047153,0.324452,0.024046,0.128894,0.010924,150.986435,19.082020,49.284157,30,0
215,228,0.100000,0.047153,0.800000,0.024046,0.300000,0.010924,42.599998,19.082020,49.284157,30,-1
216,2272,0.301077,0.043186,0.346273,0.030166,0.173291,0.015372,290.774445,38.979839,67.146889,36,0
217,2072,0.331267,0.040965,0.464288,0.017307,0.204846,0.014511,224.051147,26.200947,37.349422,35,0
218,1981,0.231997,0.047175,0.552102,0.025068,0.312501,0.024230,318.970062,63.724529,37.504345,36,0
219,2213,0.377606,0.038361,0.366852,0.019940,0.149207,0.010592,233.975067,22.239838,46.906197,35,0
220,2209,0.367573,0.050780,0.443932,0.023208,0.224813,0.020180,223.236099,29.427351,37.355629,36,0
221,2577,0.228805,0.032008,0.480582,0.012591,0.192960,0.013027,314.157043,43.200920,61.699551,35,0
222,2248,0.290510,0.029835,0.460639,0.013372,0.175054,0.009180,264.192352,25.601526,64.245636,36,0
223,2394,0.397380,0.047559,0.406308,0.025559,0.199477,0.015800,229.847061,24.018841,59.745796,36,0
224,2538,0.373877,0.050731,0.429079,0.026779,0.232100,0.018412,236.466568,28.203861,56.230686,36,0
225,2029,0.414228,0.044794,0.404772,0.018250,0.160432,0.012910,160.878204,16.005180,54.591656,35,0
226,2228,0.342027,0.035198,0.454755,0.016319,0.190797,0.011168,251.911301,23.686884,40.924412,36,0
227,2310,0.375626,0.038993,0.479431,0.014393,0.189747,0.011283,198.863495,18.773960,48.476242,36,0
228,2067,0.397134,0.041369,0.444634,0.016051,0.181316,0.011622,197.653259,18.466999,39.555656,36,0
229,5138,0.307711,0.032678,0.460327,0.014634,0.194054,0.011026,307.480682,30.334307,58.094074,36,0
